view,like,danmaku,reply,share
1983.8694965053926,2381.1991057457517,1431.099176272817,4011.410427038735,10470
2356.142324224149,1239.1016151364151,390.4916631422878,1646.125931933823,76990
3064.9996962318405,2229.4632962790824,714.4942052630508,1302.8911631476217,2010
6799.245211384016,1690.7492591501075,482.3099731243933,2213.514019111013,4710
2411.329089471253,1809.2604143445046,2183.587164976739,772.8619623689298,2890
2243.899768270771,724.5644469644947,139.31053928319457,1835.2552943262199,66220
1678.073358091157,2381.1991057457517,337.7225194744111,943.3118815620774,7370
2724.786548461364,2749.4884653799054,1643.2311338176812,1723.1786351307253,5390
1418.1777908633762,1922.1352442605703,694.4419306692578,1099.7522183557883,25790
2358.415463296112,672.5026003146404,37.99378344087125,359.5792815855443,48640
1800.7555157083652,907.1517211125587,2136.09493567565,9262.668896427625,8360
1802.4224843611382,4512.620007051747,1284.4009568761198,2773.897315088485,3930
2497.321098660257,2135.5739830900293,1348.7793121509294,2066.413403916927,6910
2191.743855119618,1233.6136142075134,771.4848804243578,3376.309358264267,48520
2431.913626622919,821.5685714915734,728.2141826166988,4912.6935614025015,74040
2207.950494799355,635.4215129571945,2232.1347771511855,3308.596376666989,45510
3807.078574824593,203.50100741766357,255.40265535252337,2804.251410287264,4970
2356.992646617735,3291.168989497476,1976.7321217986623,1809.5710599272522,4890
1726.5248964583704,894.544151411027,1066.9920849644675,1730.1834263304438,4420
1358.1669193635505,2353.462452402382,2314.454641273074,5919.048563762044,1050
2073.8689656879314,1017.6533614377478,1235.853344701673,3999.735775039204,2450
2636.4287908307983,1634.830979415079,594.180557700292,936.307090362359,4220
15086.756668350272,9210.200477842434,20672.839723327386,23568.787456652495,365880
12758.624468912869,10947.820231412354,23672.2378494095,16421.565502539826,711740
12274.715255659923,13565.003377100891,15174.294953134633,12881.81101628213,15610
8936.913613691713,8761.37099646791,4782.9951820563465,4125.822016634135,64150
12009.616725667429,14912.381767321049,11634.540795893461,8457.11790846001,12090
11081.064671871303,4942.612296048691,3530.2557113809535,16286.139539345271,312310
10242.33528755212,9673.86239415994,33714.20588940644,9797.36795800613,12730
9527.525658789324,4442.610914120889,4253.192979630864,16813.833809724056,316580
9583.975279076407,10428.98165710697,2330.285384373436,6761.958438128158,92690
7463.212296237238,5975.839714176565,1987.2859505322376,1697.494400731758,113380
8835.026469066166,6155.460501336034,6260.531204756896,7105.1932069143595,18880
8437.723854455016,3057.1131660972774,1017.3890899166632,1494.3554559399247,9440
6371.490952242161,9820.555175745994,7626.196642881545,4898.683979003065,11280
4155.567632623735,9252.917890478211,5070.059323609596,8639.242479652688,13300
5161.414833900206,7906.577770704063,3515.480351153948,2510.050179899092,42610
6448.55878581531,4757.503507960319,5842.599586907312,4030.0898702379836,14460
5993.863619153892,4701.288579526433,396.82396038243303,2278.892070308385,87670
4683.22214446157,13552.692456098219,3402.5543837046916,5690.225384571244,7080
5675.228454499865,3416.0580917173543,5608.304589021939,1963.6764663210572,9410
7565.234145400382,6181.713911185106,2083.3257920077735,2248.537975109605,15700
5169.581296492074,8524.941983476832,3237.914655460916,4086.1281998357313,58170
5764.966933640808,80.68844608980247,2868.530649785779,10089.234257994396,6030
3505.2393822022937,6661.691505939887,2719.7216646423667,2570.7583702966513,6490
4596.371393845379,12456.427189462685,4767.164438955984,3131.1416662741235,16870
4830.917250903972,9541.260425769713,1308.674762963343,2369.9543559047243,7650
4843.39425869897,5844.869313630066,5292.7451098880365,2505.38031909928,29450
2979.0918773788353,3239.997088944201,653.281998608314,992.3454199601061,6030
3570.436378399635,2686.7472655711067,6610.918318711597,5286.282425387483,31900
4878.838390154394,3960.705102823521,2082.270409134416,3985.7261926397678,6590
3027.745472552446,1614.0655704949088,24528.15335970246,10817.73254276511,16380
3818.183280142813,4307.042458742067,14471.409959478515,3299.2566550673646,8910
2589.3832310747625,5605.177164951536,4303.8513575520265,3215.1991606707443,9980
3381.6395499227,3204.844218129342,4234.196087910429,2519.3899014987164,24240
3500.8867418311643,2291.3145499913026,1120.8166115057018,1671.8101663327907,61370
4403.710228946107,4355.544521005606,864.3585732798208,1909.973067123216,11950
3969.6416946043546,1898.996645749524,2436.8790545825473,2454.011850301345,81330
