view,like,danmaku,reply,favorite,coin,share,point
288567,12278,2075,332,1215,7878,289,240782
269908,4953,136,794,4221,1442,6711,239686
200332,16104,321,405,7152,9012,738,238287
324660,18578,1564,739,1284,2882,539,237256
170334,13075,663,476,8501,8334,2601,234821
283978,4583,36,157,4353,828,4927,232712
214941,6126,2032,3972,1219,1612,838,230887
261886,8343,733,1456,1742,7465,4863,229342
214557,30483,1217,1190,4858,25767,393,229315
291436,5567,694,2113,938,535,7426,229076
296868,14407,1279,885,1134,4525,692,228795
262555,4285,2116,1420,2000,784,4556,227273
453858,1378,242,1208,1774,72,499,226439
281197,22246,1876,778,2082,12627,489,226106
205795,6043,1011,742,3608,3958,442,224351
250111,6924,1181,1747,1519,2644,247,223699
161647,15901,2196,2535,3384,13697,105,222713
314107,11043,564,402,1057,6885,423,221509
119669,10594,3116,1038,9678,2526,1136,220902
1795646,62186,19665,10112,26819,14766,36638,1482327
1523947,74141,22578,7090,32837,57355,71480,1388200
1460505,91558,14398,5524,6997,37083,1562,1129542
1063943,59181,4542,1770,30408,10444,6426,1036402
1429085,100638,11050,3622,11393,44232,1211,992380
1321256,33395,3363,6985,9686,11991,31270,990889
1220510,65316,32048,4204,3503,16289,1278,895644
1135192,30000,4048,7214,7181,10418,31689,893958
1144829,70552,2220,2905,8161,33578,9315,806336
889974,40410,1886,730,16630,24125,11368,767331
1050086,41512,5933,3043,2670,14470,1888,720981
1007687,20664,970,644,7887,3453,950,662836
760629,66458,21,2102,9774,30158,1134,656177
498633,62778,4828,3744,15083,46093,1339,650576
614907,53433,3335,1076,14318,36704,4271,607456
718370,31939,378,987,11651,3348,8856,603270
766369,32087,5538,1726,5467,8303,1446,600697
557339,91523,3231,2440,12493,150501,710,563026
675400,23050,5315,841,4241,13507,943,559178
614786,57543,3068,1752,9508,14933,5824,546956
899167,41690,1974,963,2677,4897,1570,546882
694845,546,2739,4344,7,8678,609,521074
420627,45209,2605,1108,16003,46478,654,515484
548443,84264,4535,1345,9047,59635,1692,498260
574459,64414,1242,1015,9183,68824,765,494989
575971,39432,5018,1074,4302,24063,2950,467670
356840,21971,621,428,16774,11431,605,464333
424657,18125,6277,2267,5360,17167,3192,455577
580330,26709,1974,1707,2083,3432,659,449700
360517,10899,23296,4640,1824,4802,1643,448647
454212,29053,13719,1415,3707,16089,891,445487
316883,38547,4155,1412,15627,50195,1020,431424
485220,13172,2374,1071,7312,7349,8371,421316
